Run,Learning_Rate,Dropout,Conv_Layers,Units_Last_Layer,Filters_Layer_1,Filters_Layer_2,Run_Type,trainable_params,visual_overfitting,train_acc,train_loss,val_acc,val_loss,overfitting_gap,precision_female,recall_female,F1-score_female,precision_male,recall_male,F1-score_male,F1-score accuracy
25,0.005,0.2,2,1024,8,64,Factorial,58989513,0.75,0.844523,0.350606,0.8031915,0.5247575,0.0413315,0.765,0.79,0.775,0.84,0.81,0.82,0.805
26,0.005,0.2,4,4096,32,64,Factorial,9539297,0,0.507656,0.693179,0.43617,0.69563,0.071486,0.44,1,0.61,0,0,0,0.44
27,0.005,0.2,2,4096,8,64,Factorial,235942857,0.5,0.819199,0.4323825,0.7659575,0.5047635,0.0532415,0.725,0.74,0.735,0.795,0.785,0.79,0.765
28,0.005,0.2,4,1024,32,64,Factorial,2455265,1,0.7149585,0.5489605,0.723404,0.558823,-0.0084455,0.67,0.715,0.69,0.775,0.73,0.75,0.725
29,0.0005,0.2,2,1024,32,16,Factorial,14753841,0.5,0.8674915,0.320142,0.8351065,0.4633585,0.032385,0.785,0.855,0.82,0.88,0.82,0.85,0.835
30,0.005,0.5,4,1024,8,64,Factorial,2440265,1,0.7078915,0.557683,0.7553195,0.5360505,-0.047428,0.715,0.745,0.725,0.795,0.765,0.78,0.755
31,0.0005,0.2,2,4096,32,64,Factorial,235957857,0.75,0.89576,0.256996,0.8404255,0.4379875,0.0553345,0.8,0.855,0.825,0.88,0.83,0.855,0.84
32,0.001,0.3,3,2048,16,32,Center,25718129,0.5,0.878092,0.276143,0.851064,0.410986,0.027028,0.81,0.865,0.835,0.89,0.84,0.86,0.85
33,0.005,0.5,4,1024,8,16,Factorial,2409113,1,0.7267375,0.5420045,0.707447,0.586039,0.0192905,0.68,0.635,0.65,0.73,0.765,0.745,0.705
34,0.005,0.2,2,1024,32,64,Factorial,59004513,0.75,0.759128,0.500989,0.8031915,0.493873,-0.0440635,0.725,0.875,0.795,0.89,0.745,0.81,0.805
35,0.0005,0.5,4,1024,32,64,Factorial,2455265,0.75,0.8568905,0.327899,0.8297875,0.4137125,0.027103,0.74,0.94,0.83,0.94,0.745,0.835,0.83
36,0.005,0.5,2,1024,32,16,Factorial,14753841,0,0.507656,0.6900465,0.43617,0.6906035,0.071486,0.44,1,0.61,0,0,0,0.44
37,0.001,0.1,3,2048,16,32,Axial,25718129,0.75,0.8881035,0.281799,0.856383,0.4405075,0.0317205,0.81,0.88,0.845,0.9,0.84,0.865,0.855
38,0.0005,0.5,2,4096,32,16,Factorial,58996785,0.75,0.8374555,0.36182,0.829787,0.395975,0.0076685,0.78,0.855,0.815,0.875,0.81,0.84,0.83
39,0.0005,0.2,4,4096,8,64,Factorial,9524297,0.5,0.871614,0.297777,0.824468,0.371124,0.047146,0.76,0.875,0.81,0.895,0.78,0.835,0.825
40,0.0005,0.5,4,4096,8,16,Factorial,9493145,0.75,0.834511,0.370159,0.8351065,0.420285,-0.0005955,0.775,0.875,0.82,0.895,0.8,0.845,0.835
41,0.001,0.3,3,2048,16,32,Center,25718129,0.75,0.8663135,0.3130065,0.8404255,0.429886,0.025888,0.78,0.89,0.83,0.9,0.8,0.85,0.84
42,0.005,0.5,2,1024,8,16,Factorial,14749209,1,0.795053,0.4605725,0.829787,0.4386215,-0.034734,0.765,0.875,0.82,0.895,0.79,0.84,0.83
43,0.0005,0.5,2,1024,32,16,Factorial,14753841,1,0.85159,0.35703,0.8404255,0.4109265,0.0111645,0.795,0.85,0.82,0.88,0.83,0.855,0.84
44,0.005,0.2,4,1024,8,64,Factorial,2440265,1,0.7497055,0.504645,0.744681,0.519702,0.0050245,0.72,0.685,0.7,0.765,0.79,0.78,0.745
45,0.0005,0.2,2,4096,8,16,Factorial,58992153,0.5,0.875147,0.305086,0.824468,0.4319975,0.050679,0.775,0.84,0.81,0.87,0.81,0.84,0.825
